Hora,Estado,Estilo,Duracion_Seg,Brazadas,SWOLF,Metros_Largo,Distancia_Acumulada,Bloque_Rutina
2026-06-13 21:32:32,Nado,freestyle,33.0,13.0,46.0,25,25,1. Entrada en Calor
2026-06-13 21:32:32,Nado,freestyle,32.9,10.0,42.9,25,50,1. Entrada en Calor
2026-06-13 21:32:32,Nado,freestyle,37.4,12.0,49.4,25,75,1. Entrada en Calor
2026-06-13 21:32:32,Nado,freestyle,25.9,9.0,34.9,25,100,1. Entrada en Calor
2026-06-13 21:34:41,Descanso,,10.8,,,0,100,1. Entrada en Calor
2026-06-13 21:34:52,Nado,freestyle,32.9,12.0,44.9,25,125,1. Entrada en Calor
2026-06-13 21:34:52,Nado,freestyle,37.0,12.0,49.0,25,150,1. Entrada en Calor
2026-06-13 21:34:52,Nado,freestyle,34.3,11.0,45.3,25,175,1. Entrada en Calor
2026-06-13 21:34:52,Nado,freestyle,36.6,11.0,47.6,25,200,1. Entrada en Calor
2026-06-13 21:34:52,Nado,freestyle,36.0,11.0,47.0,25,225,1. Entrada en Calor
2026-06-13 21:34:52,Nado,freestyle,35.6,10.0,45.6,25,250,1. Entrada en Calor
2026-06-13 21:38:25,Descanso,,8.8,,,0,250,1. Entrada en Calor
2026-06-13 21:38:34,Nado,freestyle,33.7,10.0,43.7,25,275,1. Entrada en Calor
2026-06-13 21:38:34,Nado,freestyle,29.0,9.0,38.0,25,300,1. Entrada en Calor
2026-06-13 21:39:37,Descanso,,126.4,,,0,300,1. Entrada en Calor
2026-06-13 21:41:43,Nado,freestyle,57.1,20.0,77.1,25,325,2. Fuerza: Manoplas
2026-06-13 21:42:40,Descanso,,25.1,,,0,325,2. Fuerza: Manoplas
2026-06-13 21:43:05,Nado,freestyle,26.0,9.0,35.0,25,350,2. Fuerza: Manoplas
2026-06-13 21:43:05,Nado,freestyle,34.7,11.0,45.7,25,375,2. Fuerza: Manoplas
2026-06-13 21:44:06,Descanso,,28.5,,,0,375,2. Fuerza: Manoplas
2026-06-13 21:44:35,Nado,freestyle,29.6,9.0,38.6,25,400,2. Fuerza: Manoplas
2026-06-13 21:44:35,Nado,freestyle,28.7,9.0,37.7,25,425,2. Fuerza: Manoplas
2026-06-13 21:45:33,Descanso,,31.8,,,0,425,2. Fuerza: Manoplas
2026-06-13 21:46:05,Nado,freestyle,26.8,10.0,36.8,25,450,2. Fuerza: Manoplas
2026-06-13 21:46:05,Nado,freestyle,33.5,11.0,44.5,25,475,2. Fuerza: Manoplas
2026-06-13 21:47:05,Descanso,,22.5,,,0,475,2. Fuerza: Manoplas
2026-06-13 21:47:28,Nado,freestyle,35.6,12.0,47.6,25,500,2. Fuerza: Manoplas
2026-06-13 21:47:28,Nado,freestyle,31.0,10.0,41.0,25,525,2. Fuerza: Manoplas
2026-06-13 21:48:35,Descanso,,24.1,,,0,525,2. Fuerza: Manoplas
2026-06-13 21:48:59,Nado,freestyle,33.2,11.0,44.2,25,550,2. Fuerza: Manoplas
2026-06-13 21:48:59,Nado,freestyle,30.1,10.0,40.1,25,575,2. Fuerza: Manoplas
2026-06-13 21:50:02,Descanso,,25.8,,,0,575,2. Fuerza: Manoplas
2026-06-13 21:50:28,Nado,freestyle,28.3,9.0,37.3,25,600,2. Fuerza: Manoplas
2026-06-13 21:50:28,Nado,breaststroke,30.4,8.0,38.4,25,625,2. Fuerza: Manoplas
2026-06-13 21:51:27,Descanso,,29.1,,,0,625,2. Fuerza: Manoplas
2026-06-13 21:51:56,Nado,freestyle,27.7,9.0,36.7,25,650,2. Fuerza: Manoplas
2026-06-13 21:51:56,Nado,freestyle,34.3,12.0,46.3,25,675,2. Fuerza: Manoplas
2026-06-13 21:52:58,Descanso,,20.5,,,0,675,2. Fuerza: Manoplas
2026-06-13 21:53:19,Nado,freestyle,31.6,10.0,41.6,25,700,2. Fuerza: Manoplas
2026-06-13 21:53:19,Nado,freestyle,31.4,10.0,41.4,25,725,3. Combinados: Mariposa/Crol
2026-06-13 21:54:22,Descanso,,113.8,,,0,725,3. Combinados: Mariposa/Crol
2026-06-13 21:56:16,Nado,freestyle,32.2,12.0,44.2,25,750,3. Combinados: Mariposa/Crol
2026-06-13 21:56:16,Nado,freestyle,37.3,10.0,47.3,25,775,3. Combinados: Mariposa/Crol
2026-06-13 21:56:16,Nado,freestyle,38.4,12.0,50.4,25,800,3. Combinados: Mariposa/Crol
2026-06-13 21:56:16,Nado,freestyle,38.8,11.0,49.8,25,825,3. Combinados: Mariposa/Crol
2026-06-13 21:56:16,Nado,freestyle,34.8,11.0,45.8,25,850,3. Combinados: Mariposa/Crol
2026-06-13 21:56:16,Nado,freestyle,36.8,11.0,47.8,25,875,3. Combinados: Mariposa/Crol
2026-06-13 21:56:16,Nado,freestyle,36.3,12.0,48.3,25,900,3. Combinados: Mariposa/Crol
2026-06-13 21:56:16,Nado,freestyle,32.6,10.0,42.6,25,925,3. Combinados: Mariposa/Crol
2026-06-13 22:01:03,Descanso,,6.5,,,0,925,3. Combinados: Mariposa/Crol
2026-06-13 22:01:10,Nado,freestyle,35.1,12.0,47.1,25,950,3. Combinados: Mariposa/Crol
2026-06-13 22:01:10,Nado,freestyle,39.7,12.0,51.7,25,975,3. Combinados: Mariposa/Crol
2026-06-13 22:01:10,Nado,freestyle,40.2,12.0,52.2,25,1000,3. Combinados: Mariposa/Crol
2026-06-13 22:01:10,Nado,freestyle,33.9,11.0,44.9,25,1025,3. Combinados: Mariposa/Crol
2026-06-13 22:01:10,Nado,freestyle,41.2,11.0,52.2,25,1050,3. Combinados: Mariposa/Crol
2026-06-13 22:01:10,Nado,freestyle,33.1,11.0,44.1,25,1075,3. Combinados: Mariposa/Crol
2026-06-13 22:01:10,Nado,freestyle,40.3,12.0,52.3,25,1100,3. Combinados: Mariposa/Crol
2026-06-13 22:01:10,Nado,freestyle,38.1,12.0,50.1,25,1125,4. Serie Principal: Cruzero
2026-06-13 22:01:10,Nado,freestyle,37.4,11.0,48.4,25,1150,4. Serie Principal: Cruzero
2026-06-13 22:01:10,Nado,freestyle,39.6,12.0,51.6,25,1175,4. Serie Principal: Cruzero
2026-06-13 22:01:10,Nado,freestyle,35.5,11.0,46.5,25,1200,4. Serie Principal: Cruzero
2026-06-13 22:01:10,Nado,freestyle,38.9,12.0,50.9,25,1225,4. Serie Principal: Cruzero
2026-06-13 22:08:43,Descanso,,62.7,,,0,1225,4. Serie Principal: Cruzero
2026-06-13 22:09:46,Nado,breaststroke,21.0,6.0,27.0,25,1250,4. Serie Principal: Cruzero
2026-06-13 22:09:46,Nado,breaststroke,30.1,6.0,36.1,25,1275,4. Serie Principal: Cruzero
2026-06-13 22:09:46,Nado,freestyle,31.6,7.0,38.6,25,1300,4. Serie Principal: Cruzero
2026-06-13 22:09:46,Nado,breaststroke,18.3,5.0,23.3,25,1325,4. Serie Principal: Cruzero
2026-06-13 22:09:46,Nado,freestyle,34.4,11.0,45.4,25,1350,4. Serie Principal: Cruzero
2026-06-13 22:09:46,Nado,freestyle,41.0,12.0,53.0,25,1375,4. Serie Principal: Cruzero
2026-06-13 22:09:46,Nado,breaststroke,50.0,15.0,65.0,25,1400,4. Serie Principal: Cruzero
2026-06-13 22:09:46,Nado,breaststroke,50.2,17.0,67.2,25,1425,4. Serie Principal: Cruzero
2026-06-13 22:14:23,Descanso,,3.5,,,0,1425,4. Serie Principal: Cruzero
2026-06-13 22:14:27,Nado,freestyle,38.6,13.0,51.6,25,1450,4. Serie Principal: Cruzero
2026-06-13 22:14:27,Nado,freestyle,40.4,14.0,54.4,25,1475,4. Serie Principal: Cruzero
2026-06-13 22:15:46,Descanso,,9.9,,,0,1475,4. Serie Principal: Cruzero
2026-06-13 22:15:56,Nado,breaststroke,59.7,19.0,78.7,25,1500,4. Serie Principal: Cruzero
2026-06-13 22:15:56,Nado,breaststroke,47.0,13.0,60.0,25,1525,4. Serie Principal: Cruzero
2026-06-13 22:17:43,Descanso,,7.9,,,0,1525,4. Serie Principal: Cruzero
2026-06-13 22:17:50,Nado,freestyle,42.1,14.0,56.1,25,1550,4. Serie Principal: Cruzero
2026-06-13 22:17:50,Nado,freestyle,40.5,12.0,52.5,25,1575,4. Serie Principal: Cruzero
